text,label
"Good thing is: They have a computer. Bad thing is: It blocks ALL VIDJAGAME SITES! Yes, even VGTribune.com is blocked!",positive
Pretty good overall.,positive
 make a prank call for me,neutral
 sounds like a great way to to start mothers day! Enjoy your day,positive
Back to work I go....,neutral
" OMG, you have curly hair! Too cute!",positive
 Good morning David! Happy Mother`s Day to your mom lol. Too bad u can`t be with her. She is so awesome!,neutral
 I`m like so upset with you.. haha.. you never told me the 411..,neutral
 Thats soooo pretty. Mine havnt flowered for years,positive
Confusing,negative
Well. The jag just took a **** on my way home from training  I hope it`s just the alternator.,neutral
"Liked the setup so much that I quickly became a premium user. The widget alone is worth it. I love the flexibility the app allows in specifying when I can work on developing a habit. As I am frequently adding habits, I would like to rearrange habits in the list to make it easier to find them. Hopefully, this is an easy fix. Then this will be a 5-star app.",positive
"This app is beautiful, and has really helped me keep my business, large family, homeschool and church activities all in order! No more chaos for this girl!",positive
playing my new ds lite!    Love it!,positive
Working on your birthday isn`t so bad when you get to work with Ruby on Rails,positive
" Who knows, maybe someday you`ll come home and find... *gasp* DINNER in your FRIDGE!",neutral
"It seems very nice, the inferface can just get pretty overwhelming to look can.",neutral
Finished dexter season2    start on season 3 next week?,neutral
" ohhh. i didn`t log on there, pity me. was it great?",negative
Sonny you are a mystery man!  I`m into it thoughh.,neutral
  Thank you and Happy Mothers Day to your Mother also SNL tonight,positive
my last full week of school!,neutral
At the airport waiting,neutral
"For 2.6.1: TimeTune background task error keep persists due to: screen is off, battery saver, powered off. You can also add new features: ""Refresh Background Tasks when accessing app"" toggle switch, it refreshes everytime when they accessing the app even background tasks blocked by system",neutral
Chem final right now. Awwh mrs. Oli! Imma miss you!,negative
 oh no! Poor thing keep us posted.,negative
"My mom has annoyed the living **** outta me, so now we`re on AOL Radio, looking for Brooks & Dunn.",negative
I just got home.  i bought twiggies and a toothbrush that promises to make my teeth 60% cleaner. - http://tweet.sg,positive
"Loved it...until the projects feature was going to cost me a yearly fee. 
Honestly, I wanted to try it and see if it works for me so you lost me when 
you made the features I wanted cost.",negative
The wigit doesn't come with the free version. It does the same thing your Google Calendar can do. I was looking for something for time blocking ... this is time flopping,negative
"But I miss the hourly blocks, made it easy to Sceduale my work hours.",neutral
Viviann`s all minee. Yummm,positive
 haha I know.  Sorry about all the typos in that last tweet...blehhh.  ps - Because I Said So is sucha cute movie..  awww,positive
" and Amanda Peet in A lot Like Love. Loves it.. Classic, really",positive
please fix the crash.,neutral
no phone  i knew i should`ve charged it last night. SIGH,neutral
Greenville Drive games just aren`t the same without the 'Baseball Guy' clown.,negative
Bout 2 Miss Mah Lakers Play 2day...  This Orange Box Is **** Up The Rotation!.. Mah Real LA Fam.. Keep Me Posted!.. I LOVE HATERS 2!!,neutral
Just awesome...every thing you need in a daily routine..good interface but i wish the i had the programmer option in free.bravo the developer team who made this,positive
" thank you  saw your comment on the chew aerobics, really tickled me",neutral
Doctors appt,neutral
"I have always been a paper planner girl, but now that I've tried Artful Agenda I will never go back! I love the custom covers, adorable stickers and the ability to link multiple calendars together in one place! It's extremely functional and I am obsessed with the fact that I can access it straight from my phone (and computer, too!). No more anxiety about losing my paper planner...loving this beautiful, digital way to organize!",positive
 I wanna get an FF tweet too,neutral
Just talked to Anthony Rapp. Face to face. !!!!!,neutral
" No offense, but have you thought about a career change?",neutral
will be very hard to go back to work this morning- 4 straight days at disneyland tends to do that,negative
"Monday is here, One more day",neutral
25-man Ulduar is hard...,neutral
Interface is not really satisfactory,negative
" So I guess if the couple sees its ceremony as valid, it is valid, the community be damned  .",negative
Goin to the mall and gonna see the movie ghost of gfs past i hope its good and top it all im goin alone  but ilook cute and feel good ^^,positive
"'you can ride one, you can catch one, but its not summer til you pop open one'  ?",neutral
had a **** contact with both parents >.>  grrr,negative
Sometimes people never learn to shut up and stop talking ****,negative
pulled up @ walmart aunt got out went in I fell asleep 2 hours later.... were r you?!  lol,neutral
" I`ve lost count of the number I`ve rung today already    Were going to Wales, but I`m due in court on monday!",neutral
"There are wonderful people in my life who I think I can handle only in small doses  & there is just 1 I cud be with every hour, everyday.",neutral
"Does not support advanced repetition like ""every last Friday""",neutral
"I love this app. The only change I wish they would make is that certain words and all numbers become dates that the app tries to make into a deadline. Sometimes I just want to write the word ""tomorrow"" without it thinking that I want to do that task by tomorrow or on tomorrow (for example)",positive
Get to see and hopefully meet these guys next week at ROTR!! Can NOT wait!!!  Adelitas Way - Invincible ? http://blip.fm/~5ynxr,positive
New blog post: Harvard Versus Stanford - Who Wins? http://bit.ly/MCoCo,neutral
Feeling tempted by high volume of jeeps to start an 'acura wave'. Me too!,neutral
i just need to sleep,neutral
 not so good,negative
Got a new phone and app now won't allow me to hit sign in button. Customer service is very slow to respond to help. Love the app for last 2 / 3 yrs but not being able to use now is not worth my $$$ paid for it & to think it just renewed,negative
_hansen Darn - I just realised 'pull the other one' would have been a *far* better response to your name suggestion,positive
: Loved it!  Would never have thought he was into the iCarly version of Beanie Babies. xD,positive
"I get it you want me to upgrade, not even tried the app and you shove it in my face. I don't like at all how it's all just promoting your pro version Delete your account it wants your password for your Gmail account this is a privacy breach also. So many things wrong with this app and their ethos. None of the integrations work unless you pay them. Totally money grab these guys as I've read elsewhere. I've deleted it now, it made me feel they have been so intrusive with what they are doing",negative
_Schulz lucky u;-) no park for me  maybe for a short period ... i really have some stuff to be done untill Wed ...,positive
" Hey boys, do you wanna see my teeth? (**** it, twitter donï¿½t wanna change my picture)",neutral
"The application consistantly tells me I have no internet connection, and 
has become a pain to use. I know I have internet, it is slow, but present. 
The application would be much more useful if it could keep track and update 
your progress when it feels the connection is stable enough.",neutral
This Water Horse movie is totally making me want to go to Scotland. I want a water horse  lol,neutral
"I cannot log in to my old account since I have to buy the pro version in order to log in at first. So my past progress is lost. Also, I cannot purchase the pro version neither: 'error(6)' I have reinstalled, forced stop, cleared cache, etc multiple times. I have added a paying method to my google play account as well. Nothing has helped and I haven't received an answer to my email to you yet. This makes me sad because I like the app to much to deinstall it.",negative
Any twitter to aprs apps yet?,neutral
This product does everything that I need for it to do and all that it says that it will do. It is easy and friendly to use and I enjoy it greatly and truly do rely on it daily,positive
_ I`m so tired I think imma go to bed,negative
sitting in awe that the price to renew my laptops warranty has doubled in a matter of weeks,negative
scary cape guy,negative
" my hubby`s a vet, so we `get` that animals are like children!! all the best! hope ur biz is going well",positive
god opened the clouds and said i hate you josh,negative
 your welcome,neutral
"Useful as a to-do list. Sets a real annoying ""plan your day"" popup reminder every morning. How you disable it is non obvious. Uninstalled.",negative
Listening to Lady Gaga... Relatives just left after our Mother`s Day celebration,neutral
 Meant to ask how did the other night go? Did you enjoy the fight...did yas have an all-nighter?,positive
has two tickets to Amadou and Miriam for Tue. June 2 that I can`t use  $25 each to anyone who wants `em. That`s face value. Should be good,positive
" I do too, but not heavy rain, which we`ve had 4 more than a wk.",negative
", Decaf? I can do some teas late but never coffee- Id fly around the room. Justin Timberlake hosted. FUNNY sketch w/ Samberg",positive
 I wanna be drinking at the pub,neutral
I can't synchronized to my calendar.,negative
Can't buy pro version on note 9? Apparently in app billing is not available on my device? Guess I can't give you my money...,negative
six more finals to go,neutral
"Had annoyances with the UI, the font was too big for me and I couldn't see a lot of things at once. And for all its gimmicks, it's really just a simple app.",negative
 Journey!? Wow... u just became cooler.  hehe... (is that possible!?),positive
sorry for my lack of tweets  ive been buzy. new vid this saturday!!,negative
missing him so much. why does he have to work  can`t he just spend time with me and get paid for that lol,neutral
"Making a video for HitRecord... hope it comes out well, it`ll be my first record",positive
 I have a bird living with me.  So I have to find other ways to kill these **** things beside the exterminator.   #vegas it sucks,negative
installed the new modem which is meant to run 5 times faster than the old one and its slower  what the hell? gah slow internet kills me,negative
I love my memories. It`s almost like re-reading my favourite book all over again,positive
2 more days till half term is over,neutral
"I really like this app. The concept of blocking your times is great and I find it helps me structure my time really well. It's also a load off of my mind knowing that I don't need to think about when to eat or what time to check my email because I am at ease knowing it's all planned for and I will be informed accordingly. My only disappointment, with the service and not the app, is that I am unable to structure my timeline online on a PC. I think there are limitations of the mobile device that makes the scheduling somewhat confusing. I think it will be perfect to incorporate a way to set up your schedule on a nice large screen and use your phone for viewing and notifications.",positive
http://twitpic.com/4wdui - She`s so festive aint` she hehe,positive
_Jolene Try 90 4 next 3 days!  :O  Yuk!    lol  n e thing poppin` @ SN?,neutral
 pea plants!,neutral
just drove with my mom and brynn. my mom said im the worst driver EVER...really??,negative
" congrats, dreps! and good luck sa interview!",positive
_1210 I`m not going till Wednesday,neutral
"It's a good app. I like the encouraging reminders and memes each day. I wish there were just a couple more openings for tracking, but overall it's good. It doesn't eat my battery like the last one I tried. In fact. I'm readjusting to use in the coming year.",positive
 really has anyone got through to the finals yet? yeah was it i was stuck in class for most of it  loveyoufletch xxxx,neutral
UP isnt im 3-D..,neutral
"You should put in the description that the widgets, monthly, weekly, and even daily calanders are for premium users, that's the main reason why I downloaded. If you don't have the money for a subscription its just a checklist, which can be done on most defualt phone calander apps.",neutral
 good luck with the deer next weekend!! Hope it isn`t too cold or snowy,positive
" im not a supermodel, i still eat mcdonalds baby thats just me!  ****",neutral
Y am i still awoke @ 5:12 a.m,neutral
"The dream Task/Reminder app I have been looking for, and looking for a long time. UI, facilities, features are just amazing. Hopefully they don't ruin it by adding and updating it with pointless, unasked for features like so many other apps! I'll enjoy it while it's good! Also, please don't over saturate it with features like Essential PIM, was good at one point but now it's full of bugs and absolutely dire.",positive
is feeling sad  I so dont do goodbye`z!!!!,negative
Great for organization. I love the color scheme and wide access. Works great with reminders and has a good set up👍🏻,positive
"If u want to change the fruits, u will first have to change the roots. If u want to change the visible u must first change the invisible",neutral
i seriously neeed to study,positive
"morrrning! the last day of a random but awesome weekend, gonna round it off in dbar style!  good timezzz.",positive
if i ran the mile to mcdonalds and ran the mile back would that burn off a double sausage and egg mcmuffin lol,neutral
 Your youtube account is down.,negative
"Any Microsoft product should have zero stars available. I cannot say strongly enough, if you love crashes, frustration and impossibly awful software. . . then get this app. Imports from Wunderlist do not stay put, they disappeared. Shared lists are now two different lists with the same name. One version shows only completed tasks, my fone shows incomplete. Thanks Bill for your 100% record of ruining everything you buy. Oh and 4.5 stars out of five?? I call BS. Look at the reviews.",negative
"While everything else about this app is good, the process of scheduling a task is frustrating. Half of the time, it fails to recognize what I'm trying to set. You should just bring back the old scheduling layout from a few years ago. That was easy.",negative
 Thxx!! I was in the bathroom when you said it..,positive
Done...now another gem of a day in Cape Town,neutral
" bugger, that would have been nice but typically, we`re heading to Bristol",neutral
Very good,positive
hello!  ! following on recommendatiion of  !,neutral
I found out thro mama,neutral
Happy mothers day everybody,positive
"Health widget stopped working after latest Android update. Note 8. AT&T. Interesting take on habit forming. I'm not really a gamer but I like the point system, leveling up, and buying accessories for your avatar with those points. Nerdy fun that seems to actually be motivating me in a way other habit trackers haven't been able to. (The TED talk on the inspiration for this app is really interesting too.)",positive
"I kinda miss the old system where time-specific trees styles were the thing. Now you can pick anything after focusing for 10 minutes. It actually takes away incentive to study / focus longer. Nitpick 1: the bracketed (week) has no space after the day, example Monday(week), instead of Monday (Week). Nitpick 2: sharing. It would be nice to share more than just an image of the forest. Perhaps some tree stats? Much like there is underneath the forest itself.",neutral
Having issues with syncing with Google calendar. I added a task on TickTick and it's been over 12 hours and it still has not sync up to my Google calendar. I've tried refreshing but nothing showed up. I've looked at the help forum and many people have the same issue for some time now. I just purchased the pro and it's not worth it if it doesn't sync.,negative
just broke a vase that i didn`t even get a chance to use,negative
Want: To play Sacred 2... Reality: Spend all day at the hosp...,neutral
"Great app. Had a quirk pop up last year, but historically best user interface, synced well, and wonderful functionality!",positive
It's an amazing app. Does what it promises. Easy to use and a cool feature is it pushes due tasks to the next day which helps a lot.,positive
Bad day  The day you realize what mess you`ve put me through will be one of the happiest days of my life...,neutral
back on the twit. much hw`s to do... will post something interesting when i think of it,neutral
I am in love with this app so far. I wish there was an iOS version available to connect with my friends though... I would recommend this to everyone otherwise! 3 stars for now due to limited availability.,neutral
 god bless u and I hope the rest of your weekend is joyfull,positive
"Free Version does not allow you to view all your events in the monthly view. I only see colored dots that indicate an event is scheduled. I would like to see the event names. I contacted support, but sadly did not get a response.",negative
Now Im crying....  Poor thing..,negative
It`s about to rain!!,neutral
gotta go twitterers (?) my stupid sister wants to go on facebook  oging to montreal 2morrow so i wont be on for a while! bye!! XoXox <33,negative
"It is a very nice app,it remixes you and you will never miss any task,it reminds you with alarm or notification, it really helped me.",positive
"As always MS makes the best thing, but fails to offer video training and integration and some basic CRM features. Needs imporvement on 1) multi importance/priority level with drop down box and for sorting.... 2) ""Repeat"" doesn't add today's to-dos, just an alert. ... 3) Beable to organize more than just today....add wk mo & yr. .. 4) CRM and Calendar need upgrading and integration with Outlook app..... 5) Training??",positive
" Me too, because Monday is end of weekend. But, we cannot escape it, so I wish you have a good week",positive
just helping myself to some caramel digestives,positive
 Even IE8 would be better,positive
 I liked it.  Did you record it yourself?  If so you have a very soothing voice.,positive
"_chung oh get well soon Alexa, take some rest",positive
App itself is nice but needs a lot of polish. Right now it's kind of a bugfest.,neutral
two months from today till I`m Mrs. Josiah!! ahhhH!,neutral
i keep coughing my guts up,neutral
"OMG. Missed bus, walking miles, for a coffee  Went to see my ex-classmates",negative
Happy Mother`s Day to all the Mom`s,positive
"Correct idea worng execution. The watch face UI cannont be operated like manually moving clock hands. The time zone stick moves at an interval of 1hr, I wanted to set it at any choosen time and add reminder from there. Big flop was it did not read my calender event and yes I did give necessary permission. phone - one plus 7 OS build- Oxygen OS 9.5.5 GM57AA Further Action- Uninstalling Outlook- Would like to try it post improvement",negative
 Just try to do your best. I hope you don`t get laid off.,positive
 The winds nearly blew you out of the outfield.,neutral
" Great service, but I find the time lag from time of posting to appearance on Twitter to be a small downer",neutral
"The fact that the app does not let you use other studying apps that you have on your phone or google to find information is a bit annoying. Currently the only way to get around this is to collect all the information you need before turning on the app, but, that opens you up to distractions and wasting time.I feel like this app is specifically designed for reading purposes only, since I can sometimes finish homework before the timer runs out but the only way to stop the app is to kill the tree.",neutral
Just woww!!!,positive
very bad,negative
"3OH!3 - Rich man is amazing, really can`t be bothered for school on Monday",positive
Sitting at the doctor`s office.,neutral
I am so hungry! And there is no food for me to steal,negative
: thanks!  and you being #80 just made my morning!,positive
" Ugh, frustrating. I see a few briefs a week with groups in them, mostly from traditional agencies.",negative
"I'm going to bed. It was a successful weekend. Stanford, here I come.",neutral
 hahah no not that valley. that`s cool valley. texas valley. like...rio grande valley. ahhaha i wish i lived in california valley,positive
NCAA Baseball Road 2 Omaha: South Carolina just hit a 3-run homerun. Dagger 2 my heart.    Mason 1 - South Carolina 3..,negative
This is so complicated it took me awhile to to figure all the stuff. I would suggest add some tutorial on YouTube so anyone can get used to it. and the app is solid and will think about purchasing the pro version.,neutral
"needs registration, for online use...",neutral
" Adem in, adem uit",neutral
Good app. However the notification has stopped working.,neutral
 I hope you feel better soon,positive
 not funny he profiled my ****. Like wtf? I`m still kinda heated. Ugh,negative
Loved this app until I updated updated it. Gibberish on every day now. It is terrible. Like this on my phone and tablet!!!!! How do I fix. I depend on this planner!!!!!!!!!!!!!!!,negative
rather excited about my hospital placement starting on monday. I get to give needles and take blood,positive
"holiday time | got my grizzly bears cd, bit it wont read  | adventures tomorrow | swine flu is scaring me | i still have a cold",neutral
Love the calendar.,positive
" The first thing she said means 'Your new album is really good' and the second thing, 'Don`****`s broken'. I am Persian!",neutral
"purchased the plus version and now with the update to pro, I no longer have my premium features.",negative
Internet is painfully slow today,negative
is not sleeping because he has paperwork to do.,neutral
" **** straight you know what the game is, and if you`ve heard the tracks you`ll know why I`ve been rocking out",positive
Great and simple to use..,positive
" Hey gio, you are beautiful! I am Brazilian and I love you hahahaha! Please answer me  ****",positive
its my burfday and i`m all alone,negative
 good to know PLN`s Earthday doesn`t only happen in my neck of the woods,positive
I have to work tonight  But I get my paycheck!,neutral
finally some effing internet! i effin need to update the wifi in SG malls. Idk how  i miss dada and craigie......,negative
Zzzz... I`m taking my mom out for breakfast tomorrow!  Shall be quite a treat.,positive
" dbl booooooo for being sick, flippin blows! ... bahaha i kno i dont have many friends on here either. i feel so lame  haha",negative
Aright Twitter Fam... guess ima be outties.. gonna try n sleep off some of this horrible pain,negative
" i think it was more the tigers crumbling. so not surprising at all, really ... lol ...",neutral
"Just woke up & can`t go back to sleep. Had a txt from the bff sayin if you`re up call me, sounds important but that was 4 hours ago",positive
Ahhhhh processing shipment  sooooooo much!!!!!,neutral
shows monthly when startup even after changing it in the settings to show weekly. otherwise all around good app.,neutral
"the muscle in my back is cramping up, hurts so bad! owww",negative
 yes it does,positive
ah good idea. library seems to work  thats why i`m not there obviously.,positive
 I`m sure Mayor Brainard will be thrilled to hear that you`re a fan.,positive
 For me everything ok except install crashed at the end and now Safari crashes at every cmd+Q,neutral
 So far everybody look good !  1 more momma goat to kid this month!  Hope she has them this week!!,positive
 warm and wet  spent the day carpet cleaning the yacht,neutral
 i miss jack n box  and whataburger  and oooo taco cabanaaaaaa  lmao,neutral
its a pretty great app with lots of stuff do.It actually helps.I just love it and use it everyday,positive
Had such a great weekend! Glad it`s sunny out today,positive
playing singstar without my fave duetter,negative
 I would love to see the sun again.  It has been raining here for 3 days now.,positive
he just fully yelled  saying dnt be so fcking stupid grow up! stop with this band **** then... throws the remote at me thnks love u2,negative
 right.,neutral
"Pls and pls, kindly refund me. I was charged yesterday. I didnt realize that i was still subscribed to the app because i deleted it. I cant afford it right now cuz i dont have a job and i still need to pay my tution fees. Pls refund me!! Crying** pls refund my money",neutral
 Hey - Thank you!x and You`re Welcome! Must say - I love to travel and where are you at the moment?!x,positive
 tilaaa just make you feel so special  haha haters now days,neutral
Just started using it....the interface is easy to learn and the amount of detail is just robust enough to be appropriate for what I do.,positive
 idiot family and how I have been feeling just don`t mix amongst other stuff,negative
"Deleted my account because I found something more aligned to my needs, but I still got charged for another year. Developer ignored my email and then denied a refund via PayPal so I've now paid $28 for something I can't and no longer want to use. Had no issues with the app itself but very disappointed with the customer service.",negative
I really enjoyed this app but now if I delete a daily reminder I still get the notification for it! Which is highly annoying! Please fix this it distracts me from my work each time I here my notification go off for a deleted reminder,negative
 aww...  try to rest na lang muna... ^^,neutral
 hope you have a good flight,positive
"A very interesting idea. I would give 5 stars, but there are minor bugs in the apps. I can't choose my user name, it says there are all taken. (I'm sure No one else would use it) and I cant add a daily task. It shows an error when I try to add one. ""is not the enum for frequency "" or something similar. please fix this, I really love this idea.",neutral
 : Come to VietNam to make a live Show Miley. there are so much fans love you at Viet Nam,positive
"App worked fine till they put in the new username update, now there's a bug where you can't get into the app because every name is taken",negative
"Manca solo una visualizzazione in prospettiva degli eventi, che faccia capire bene quanto tempo occupano",neutral
J Ross you can`t leave the killers still singing and run the titles - you should have been edited out for more music - happy - not,negative
Issue solved after update. 5 stars. 😁,positive
 better check YouTube,neutral
" Thanks hun! I`m wearing my new goldmine e/s and big false lashes, but it doesn`t show!",neutral
 Awwwww!!!! And the gorgeous photo from California!!! You two make me melt!!!,positive
"Mary, Are you not receiving my texts????",neutral
 guess Ill drive it back nine hours,neutral
Having Fever  dont feel to work,negative
 Good afternoon Jonas Brothers  x,positive
 White wine reminds me of vinegar,neutral
Thinks its gonna rain,neutral
"do not use this app for tracking your habit for long time, you'll lose your data if you do t pay the premium membership. I've lost 3 months of daily tracking data of my habits.",negative
history project,neutral
Selling my laptop for CHEAP if anyone`s interested!  17' Toshiba 1.3gig ram,neutral
Would be perfect if you also have pomodoro/timer to do each task,positive
 What kind of help do you need with Machine embroidery?  I may bea able to help,positive
 Hey Mitchel when will you be live again? I didn`t get a chance to call you,negative
 really? cuz KC.com said it was releasd 24/4 here n the main station doesn`t even hav it,neutral
Excited for today! But still so much to do,positive
"One final down, two to go!",neutral
can't do anything unless you buy the pro version,negative
 tell him ill beat him up if he doesnt share,negative
recorded some of a new song today! u wont hear it for a long time thooo... we might play it at shows tho! so comeeeeee,neutral
" I can understand, pains been part of my life for a long time now  I hope you feel a bit better soon.",neutral
"I am hating the experience now, this app was so great untill it started missing on my tasks reminders and its crazy i couldn't get a very important task done that i put a reminder to here, and i have allowed tick tick all the functions it needs but this reminder thing, its pissing me off, please get it fixed.",neutral
"ugh, i was so hungry i scarfed my lunch before i even thought to take a pic.   #feastfriday",neutral
Good mornin & no u tol twitter LOL but I knew & called u yesterday 2 see if u were okay but no answer  how r u feelin babe?,positive
Busy day! No time to tweet  Bmore what`s happening this weekend?,negative
Doesn't even have a repeat feature,negative
"My guitar ain`t herew yet?, feel like i lost a limb!.",negative
 you were right about karla not the best movie made,neutral
Guys it is troubling me a lot recently...after every day it stops working..and I have tried reinstalling the app many time but serves no help..kindly fix it..,negative
  follow?,neutral
 PRETTY! I hope I win,positive
 work at 6am. Gotta go to bed soon,neutral
i miss rich,negative
 Then what about Domina Sun Girl? I think that fits better.,positive
" If you ever need some help with the Podcasters Emporium, let me know",neutral
  .... It was just alriiightt,neutral
